Season,ISOyear,ISOweek,WeekBeginning,WeekEnding,Country,Pathogen,NumberAdmissionsPerWeek,RateAdmissionsPerWeek,Population
2020/21,2020,40,20200928,20201004,S92000003,Adenovirus,9,0.2,5408900
2020/21,2020,40,20200928,20201004,S92000003,COVID-19,187,3.5,5408900
2020/21,2020,40,20200928,20201004,S92000003,HMPV,0,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,Influenza (All),2,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,Influenza A,2,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,Influenza B,0,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,Mycoplasma pneumoniae,0,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,Parainfluenza (Any Type),0,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,RSV,0,0,5408900
2020/21,2020,40,20200928,20201004,S92000003,Rhinovirus,90,1.7,5408900
2020/21,2020,40,20200928,20201004,S92000003,Seasonal coronavirus,1,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Adenovirus,5,0.1,5408900
2020/21,2020,41,20201005,20201011,S92000003,COVID-19,353,6.5,5408900
2020/21,2020,41,20201005,20201011,S92000003,HMPV,0,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Influenza (All),2,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Influenza A,2,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Influenza B,0,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Mycoplasma pneumoniae,1,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Parainfluenza (Any Type),0,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,RSV,0,0,5408900
2020/21,2020,41,20201005,20201011,S92000003,Rhinovirus,109,2,5408900
2020/21,2020,41,20201005,20201011,S92000003,Seasonal coronavirus,0,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Adenovirus,11,0.2,5408900
2020/21,2020,42,20201012,20201018,S92000003,COVID-19,524,9.7,5408900
2020/21,2020,42,20201012,20201018,S92000003,HMPV,2,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Influenza (All),0,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Influenza A,0,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Influenza B,0,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Mycoplasma pneumoniae,1,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Parainfluenza (Any Type),1,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,RSV,1,0,5408900
2020/21,2020,42,20201012,20201018,S92000003,Rhinovirus,93,1.7,5408900
2020/21,2020,42,20201012,20201018,S92000003,Seasonal coronavirus,0,0,5408900
2020/21,2020,43,20201019,20201025,S92000003,Adenovirus,11,0.2,5408900
2020/21,2020,43,20201019,20201025,S92000003,COVID-19,642,11.9,5408900
2020/21,2020,43,20201019,20201025,S92000003,HMPV,2,0,5408900
2020/21,2020,43,20201019,20201025,S92000003,Influenza (All),0,0,5408900
2020/21,2020,43,20201019,20201025,S92000003,Influenza A,0,0,5408900
2020/21,2020,43,20201019,20201025,S92000003,Influenza B,0,0,5408900
